OrderID,City,State
CA-2017-152156,Henderson,Kentucky
CA-2017-138688,Los Angeles,California
US-2016-108966,Fort Lauderdale,Florida
CA-2015-115812,Los Angeles,California
CA-2018-114412,Concord,North Carolina
CA-2017-161389,Seattle,Washington
US-2016-118983,Fort Worth,Texas
CA-2015-105893,Madison,Wisconsin
CA-2015-167164,West Jordan,Utah
CA-2015-143336,San Francisco,California
CA-2017-137330,Fremont,Nebraska
US-2018-156909,Philadelphia,Pennsylvania
CA-2016-106320,Orem,Utah
CA-2017-121755,Los Angeles,California
US-2016-150630,Philadelphia,Pennsylvania
CA-2018-107727,Houston,Texas
CA-2017-117590,Richardson,Texas
CA-2016-117415,Houston,Texas
CA-2018-120999,Naperville,Illinois
CA-2017-101343,Los Angeles,California
CA-2018-139619,Melbourne,Florida
CA-2017-118255,Eagan,Minnesota
CA-2015-146703,Westland,Michigan
CA-2017-169194,Dover,Delaware
CA-2016-115742,New Albany,Indiana
CA-2017-105816,New York City,New York
CA-2017-111682,Troy,New York
CA-2016-135545,Los Angeles,California
US-2016-164175,Chicago,Illinois
CA-2015-106376,Gilbert,Arizona
CA-2017-119823,Springfield,Virginia
CA-2017-106075,New York City,New York
CA-2018-114440,Jackson,Michigan
US-2016-134026,Memphis,Tennessee
US-2018-118038,Houston,Texas
US-2015-147606,Houston,Texas
CA-2017-127208,Decatur,Alabama
CA-2015-139451,San Francisco,California
CA-2016-149734,Durham,North Carolina
US-2018-119662,Chicago,Illinois
CA-2018-140088,Columbia,South Carolina
CA-2018-155558,Rochester,Minnesota
CA-2017-159695,Houston,Texas
CA-2017-109806,Los Angeles,California
CA-2016-149587,Minneapolis,Minnesota
US-2018-109484,Portland,Oregon
CA-2018-161018,New York City,New York
CA-2018-157833,San Francisco,California
CA-2017-149223,Saint Paul,Minnesota
CA-2017-158568,Chicago,Illinois
CA-2017-129903,Rochester,Minnesota
US-2016-156867,Aurora,Colorado
CA-2018-119004,Charlotte,North Carolina
CA-2016-129476,Orland Park,Illinois
CA-2018-146780,New York City,New York
